ts,close,mcap,volume,open,high,low,close_candle
2026-07-16 16:00:00,76.57235514456228,44605437787.498764,1780326385.5397491,76.2,76.76,75.69,76.59
2026-07-16 20:00:00,75.77968272992649,44143026263.62486,1713849725.9242287,76.46,76.53,75.41,75.78
2026-07-17 00:00:00,75.26924720120745,43845679077.281105,1729323923.3697355,75.78,75.99,75.02,75.27
2026-07-17 04:00:00,75.15407303940303,43778578940.2701,1730293449.7667592,75.26,75.65,74.74,75.17
2026-07-17 08:00:00,74.56962636701051,43438098500.37086,1662444362.9896204,75.06,75.26,74.31,74.57
2026-07-17 12:00:00,74.81476258471211,43580886132.37847,1560795451.7004495,74.61,74.93,74.18,74.81
2026-07-17 16:00:00,74.71279088922931,43521475411.92973,1674949095.5128503,74.77,74.77,73.4,74.71
2026-07-17 20:00:00,75.10680436441152,43750984460.68463,1664282971.1240885,74.77,75.49,74.6,75.18
2026-07-18 00:00:00,75.00200273777084,43689926142.810616,1610029431.7482316,75.01,75.18,74.83,75.0
2026-07-18 04:00:00,75.32855278564999,43880138947.96519,1498041415.1591148,74.99,75.39,74.95,75.33
2026-07-18 08:00:00,74.91748545553735,43640677287.77601,1344304723.750477,75.29,75.29,74.83,74.92
2026-07-18 12:00:00,74.92010160784237,43642193248.56522,1258804546.4158144,74.8,74.98,74.64,74.92
2026-07-18 16:00:00,74.9206243777686,43642488452.604805,976412114.8638523,75.01,75.12,74.5,74.92
2026-07-18 20:00:00,75.39773115320435,43929254076.23139,927672222.7554735,74.89,75.47,74.81,75.4
2026-07-19 00:00:00,75.48105541148355,43977792651.52891,922299097.9510707,75.37,75.57,75.3,75.48
2026-07-19 04:00:00,75.86178468039729,44199609823.64762,1041204490.2548345,75.48,76.45,75.42,75.87
2026-07-19 08:00:00,76.09344106537844,44334572454.446175,1108375356.2505262,75.85,76.25,75.71,76.09
2026-07-19 12:00:00,76.00173100041442,44281115584.81991,1164854866.759062,76.07,76.35,75.9,76.01
2026-07-19 16:00:00,76.16202067945805,44374496948.922615,1219323773.599363,75.96,76.57,75.73,76.16
2026-07-19 20:00:00,75.83765981629136,44185504761.25427,1198906331.1804466,76.11,76.22,75.48,75.84
2026-07-20 00:00:00,76.311803624947,44461747413.47417,1278086721.6860094,75.9,76.47,75.66,76.33
2026-07-20 04:00:00,76.68842801427513,44681171978.770874,1408058017.516023,76.18,77.25,76.18,76.69
2026-07-20 08:00:00,76.14655653735201,44365451582.45509,1486890712.9070177,76.61,76.85,75.53,76.15
2026-07-20 12:00:00,77.04556121631346,44889232291.48149,1619040161.7054443,76.23,77.13,75.87,77.05
2026-07-20 16:00:00,77.73102032526248,45288592763.87657,1903301284.937184,76.81,77.76,75.77,77.7
2026-07-20 20:00:00,77.58828446712987,45205420120.125206,2134519560.3954198,77.62,78.27,77.33,77.58
2026-07-21 00:00:00,77.74886056354681,45308077986.08869,2112385884.318784,77.5,77.98,77.4,77.79
2026-07-21 04:00:00,78.14309553888133,45537865471.98096,1949201937.5417404,77.73,78.41,77.62,78.13
2026-07-21 08:00:00,78.51860709882494,45756686243.411835,1956241513.3002625,78.18,78.78,77.98,78.52
2026-07-21 12:00:00,78.3161737393436,45638709925.78009,1906642992.9248834,78.47,78.62,78.06,78.31
2026-07-21 16:00:00,78.09525324120666,45509959084.10725,1772493084.1900785,78.28,78.56,77.78,78.09
2026-07-21 20:00:00,77.81511733803043,45346700885.94401,1560069701.1461039,78.1,78.19,77.57,77.82
2026-07-22 00:00:00,78.08824475788602,45505856670.67133,1539454721.505869,77.82,78.13,77.77,78.08
