ts,close,mcap,volume,open,high,low,close_candle
2025-06-11 12:00:00,2770.7522121354677,334290920432.81305,27396071653.303303,2795.62,2795.62,2759.44,2767.82
2025-06-11 16:00:00,2869.470679689285,346518760386.49097,31768149397.98061,2770.75,2870.51,2769.54,2869.47
2025-06-11 20:00:00,2811.737205183962,339304785335.60645,32658012097.302155,2863.53,2867.5,2809.47,2809.47
2025-06-12 00:00:00,2774.902334202254,334992263397.92474,31021655442.76489,2811.74,2829.47,2757.72,2776.14
2025-06-12 04:00:00,2767.1980579350675,334395830138.8536,30850459892.973537,2774.9,2780.16,2751.84,2770.99
2025-06-12 08:00:00,2744.11899951306,331724773332.43494,31145073459.30493,2767.2,2773.31,2747.45,2747.45
2025-06-12 12:00:00,2731.6225286319877,329800718721.4142,26056404943.41334,2744.12,2758.34,2730.88,2733.6
2025-06-12 16:00:00,2720.3950891110853,330290169376.85065,21911997961.94805,2731.62,2769.24,2718.35,2735.95
2025-06-12 20:00:00,2697.3490029944433,325701449984.5356,24232056005.311207,2720.4,2768.2,2702.11,2702.11
2025-06-13 00:00:00,2650.1019438066674,320104618661.58264,26063201549.412056,2698.49,2698.68,2638.58,2653.16
2025-06-13 04:00:00,2515.9657972605673,303453997572.2533,35747479895.95423,2650.1,2650.1,2468.26,2509.12
2025-06-13 08:00:00,2529.010090283722,305331616756.2757,39900110700.99766,2515.97,2532.23,2498.6,2529.12
2025-06-13 12:00:00,2539.759734365352,306603457760.33307,41130899448.015724,2529.01,2538.41,2510.82,2534.16
2025-06-13 16:00:00,2552.7964312589274,308236875504.5746,42337319429.20011,2539.76,2557.81,2513.67,2556.16
2025-06-13 20:00:00,2529.6916963973804,305406072117.4555,42497534780.7765,2552.8,2576.8,2516.21,2529.69
2025-06-14 00:00:00,2578.1893703419114,311207148986.2516,38684049846.20293,2529.19,2579.3,2529.1,2577.05
2025-06-14 04:00:00,2551.912964076794,307907277266.9894,23488963923.94181,2578.19,2578.19,2550.77,2550.77
2025-06-14 08:00:00,2538.8821922940033,306554634580.7126,21233532977.445885,2550.43,2555.42,2535.07,2539.78
2025-06-14 12:00:00,2536.923434717061,306143993658.72235,18854029173.013172,2538.88,2538.88,2524.87,2535.2
2025-06-14 16:00:00,2517.868776835696,303801231721.08325,13964758708.344753,2536.92,2542.56,2513.7,2516.49
2025-06-14 20:00:00,2511.036063971424,303338230732.5738,11507165965.383284,2517.87,2521.27,2495.65,2511.04
2025-06-15 00:00:00,2533.1594418173227,305893045616.9373,11873548860.512445,2510.66,2535.04,2501.15,2534.07
2025-06-15 04:00:00,2532.1627350409244,305715986619.3669,13327301142.53708,2533.16,2539.1,2528.1,2532.66
2025-06-15 08:00:00,2530.5103018959408,305544433412.7983,11357478348.995619,2532.16,2549.88,2526.96,2529.72
2025-06-15 12:00:00,2517.028486200815,303892101275.62714,11312794496.165018,2530.51,2530.51,2511.28,2517.84
2025-06-15 16:00:00,2542.8260357414597,307002221203.0392,11578840102.557577,2517.03,2550.79,2517.03,2544.95
2025-06-15 20:00:00,2535.109210430576,306101133373.2915,7466846625.533162,2542.83,2553.8,2535.11,2535.11
2025-06-16 00:00:00,2547.1986772890696,307479005263.2804,10615916318.473501,2535.05,2549.0,2494.15,2547.85
2025-06-16 04:00:00,2569.1343725862084,310194675493.3519,13835797203.132841,2547.2,2575.44,2522.2,2569.52
2025-06-16 08:00:00,2627.3564038666395,317147729072.4591,16303788223.039272,2569.13,2628.52,2569.13,2626.81
2025-06-16 12:00:00,2616.0007931223026,315836022625.35986,17875078404.018806,2627.36,2628.61,2598.36,2615.32
2025-06-16 16:00:00,2637.797237326361,318921497110.5002,19894201312.117092,2616.0,2652.36,2610.51,2643.53
2025-06-16 20:00:00,2655.924475714816,320520138505.8591,21266949158.56901,2637.8,2661.66,2634.27,2656.14
