timestamp,price,volume
2025-03-17 03:05:34.707,1908.5631572685384,10178488169.979366
2025-03-17 04:01:01.605,1911.8739235167764,10469694605.610113
2025-03-17 05:08:26.187,1901.4583583183564,10490324073.96528
2025-03-17 06:09:52.382,1898.5100101428507,10628992093.183096
2025-03-17 07:01:02.282,1894.0879329920429,10731561227.0463
2025-03-17 08:04:55.020,1900.6671140609471,9848370085.692404
2025-03-17 09:05:41.465,1901.0882002780227,10891955846.181803
2025-03-17 10:04:48.136,1909.0878843445037,11158897782.781895
2025-03-17 11:06:54.696,1910.5766800123727,11151621355.270208
2025-03-17 12:09:47.475,1909.3509946799186,10405734070.705936
2025-03-17 13:04:51.033,1907.2303267717632,10797248765.521984
2025-03-17 14:04:46.296,1896.5717349718898,10937603108.163115
2025-03-17 15:04:35.351,1899.642407558042,11421877770.870424
2025-03-17 16:09:56.962,1919.2034162904258,11606938935.50251
2025-03-17 17:00:54.426,1914.2400817390935,10138590106.0576
2025-03-17 18:03:02.802,1931.5613812853903,11255547135.971296
2025-03-17 19:09:46.348,1946.5947400768011,11796099587.33983
2025-03-17 20:07:18.149,1936.4361904951543,11402016923.80137
2025-03-17 21:09:55.309,1936.386636739271,10416928408.11151
2025-03-17 22:09:40.296,1940.0682594320524,11482801283.045673
2025-03-17 23:04:52.642,1933.2800472515783,11476251303.273005
2025-03-18 00:04:57.906,1926.4329790258116,11245245135.408827
2025-03-18 01:09:52.134,1924.3019695379357,11096741902.393356
2025-03-18 02:04:54.278,1903.5637262741234,11057935756.8661
2025-03-18 03:01:12.121,1911.0651894571872,10895007545.74241
2025-03-18 04:04:50.999,1901.3061007223102,10490070538.505379
2025-03-18 05:05:25.537,1904.2341105773426,11054646091.864382
2025-03-18 06:01:07.613,1907.0178810272407,10868557618.648375
2025-03-18 07:04:54.334,1898.2022808733163,11056702622.717043
2025-03-18 08:09:50.462,1907.367738190436,11138962570.786324
2025-03-18 09:07:13.368,1907.8835597541786,11151220642.605022
2025-03-18 10:07:15.860,1902.573295811513,11201934878.105042
2025-03-18 11:11:21.376,1893.8955706268334,11305683391.946821
2025-03-18 12:07:34.580,1893.674330464751,11435480607.159197
2025-03-18 13:04:45.018,1895.3639539544968,10892405834.821177
2025-03-18 14:01:42.277,1876.0471672713948,10470949976.026083
2025-03-18 15:09:27.261,1889.1385115839282,10971803924.166557
2025-03-18 16:10:14.059,1884.3192161748345,10866526145.04402
2025-03-18 17:09:59.649,1887.4656324769303,8447115091.974546
2025-03-18 18:04:47.817,1878.2390574266872,9963376952.511223
2025-03-18 19:06:36.529,1890.9035180635242,9672805837.553432
2025-03-18 20:04:44.950,1904.3010519596603,10443378467.594772
2025-03-18 21:09:45.168,1906.1883491236083,10178394747.072075
2025-03-18 22:09:36.761,1912.8861246297774,10512933202.562946
2025-03-18 23:09:41.208,1919.8360936038243,10617727424.134178
2025-03-19 00:06:04.842,1929.8958934893628,10898886258.799763
2025-03-19 01:04:48.764,1944.321223275636,11263469012.55666
2025-03-19 02:04:43.446,1933.0320068061558,11612598141.418821
2025-03-19 03:04:58.979,1932.6135123045199,11545952192.892967
2025-03-19 04:06:42.103,1936.7669916691364,11335759171.638472
2025-03-19 05:04:58.588,1933.3135690189115,11433006626.417957
2025-03-19 06:00:09.459,1939.6886499754794,11728001200.679478
2025-03-19 07:04:38.147,1937.6488059114358,11517765628.322716
2025-03-19 08:04:55.615,1932.0355413211064,11375891073.254627
2025-03-19 09:09:25.546,1939.5410945645276,11290928103.29022
2025-03-19 10:03:28.198,1943.7701155796465,11432987761.587347
2025-03-19 11:06:12.836,1974.4034724423361,10335940478.500414
2025-03-19 12:08:53.197,2021.580835558952,14391688659.640112
2025-03-19 13:01:18.036,2001.77512549197,14576501922.451694
2025-03-19 14:04:43.474,2017.8462044058115,15947330441.77403
2025-03-19 15:04:23.364,2030.5821289422474,15595979370.505882
2025-03-19 16:09:44.475,2045.4455123980472,17322036094.856106
2025-03-19 17:04:50.156,2047.9651642250947,16661913668.037094
2025-03-19 18:04:40.875,2027.4396778513517,17587554257.281326
2025-03-19 19:04:42.005,2055.7735152803853,19233632933.54781
2025-03-19 20:04:48.809,2033.4748898469513,20629486937.537006
2025-03-19 21:01:37.640,2032.741040650986,18304934785.54817
2025-03-19 22:04:48.861,2040.9656475540446,20986868137.44308
2025-03-19 23:04:58.671,2049.8412983437943,20557521747.27418
2025-03-20 00:04:56.717,2060.728601068271,20374739988.65224
2025-03-20 01:05:31.854,2030.810684267896,20571860032.888985
2025-03-20 02:04:21.133,2025.6321235940486,20860628560.970173
2025-03-20 03:42:27.861,2027.5284754801767,20986849471.95216
2025-03-20 04:05:56.943,2023.9485780273105,21407961102.21226
2025-03-20 05:08:53.538,2021.8047188319915,21171474277.38227
2025-03-20 06:17:07.029,2020.8053260073505,21089245157.073887
2025-03-20 07:09:24.690,2012.1720943720616,21207234402.944523
2025-03-20 08:04:41.000,2009.0896853662687,21386573615.346348
2025-03-20 09:09:22.215,2017.7694762727306,21743593603.27696
2025-03-20 10:04:56.313,2005.763410549839,21679598972.193142
2025-03-20 11:09:45.193,1983.7110009386386,20785949095.53223
2025-03-20 12:09:29.745,1987.9528895415108,19091506275.57536
2025-03-20 13:04:55.063,1995.5567564386288,18622882497.84851
2025-03-20 14:04:39.455,1986.029002727694,17860715057.478317
2025-03-20 15:09:12.663,1988.012157150476,17728171448.616295
2025-03-20 16:04:48.493,1970.0067589329858,17084447023.866062
2025-03-20 17:01:16.205,1955.4681723488773,17788974105.88893
