ts,close,mcap,volume,open,high,low,close_candle
2025-04-18 20:00:00,1592.443933079099,192190087036.91956,5672003475.023297,1582.44,1593.73,1582.44,1591.7
2025-04-19 00:00:00,1589.0383030121732,191803336433.67212,5235102691.582741,1592.25,1597.19,1588.5,1589.15
2025-04-19 04:00:00,1598.1150862609024,192950603692.18283,5202216578.37032,1589.04,1598.34,1586.46,1598.34
2025-04-19 08:00:00,1601.142699350916,193325236089.40845,5370065285.305235,1598.12,1606.86,1596.28,1601.81
2025-04-19 12:00:00,1596.178742593414,192652388060.18704,5369202413.0169325,1601.14,1604.62,1595.58,1595.58
2025-04-19 16:00:00,1606.0098047087934,193771427008.81396,5146353242.362977,1596.18,1610.28,1596.18,1605.33
2025-04-19 20:00:00,1615.1647488805709,194991878263.43915,5514501587.336182,1606.01,1620.2,1600.3,1615.76
2025-04-20 00:00:00,1613.6301991547682,194837334305.52097,5722208407.004602,1615.16,1620.17,1612.56,1615.05
2025-04-20 04:00:00,1610.9211687112993,194419185969.43073,5592957858.424005,1613.63,1617.81,1610.18,1610.56
2025-04-20 08:00:00,1595.3969937075979,192537994890.65372,5608567920.542978,1610.92,1616.63,1593.32,1595.4
2025-04-20 12:00:00,1571.5445538284162,189667227999.51526,6653689195.849365,1596.59,1596.59,1570.08,1570.14
2025-04-20 16:00:00,1573.6549472700067,189951424195.32443,6745951672.072413,1571.54,1580.61,1571.54,1573.65
2025-04-20 20:00:00,1585.554943839502,191335413858.2689,6117594541.159607,1573.02,1585.55,1573.02,1585.55
2025-04-21 00:00:00,1586.3316796392694,191463074137.76187,6695483853.616966,1586.4,1594.54,1577.44,1585.46
2025-04-21 04:00:00,1636.0618532303072,197468600422.94992,9359040967.608755,1586.33,1639.23,1586.33,1636.66
2025-04-21 08:00:00,1645.8463487764275,198725086364.1268,10392702760.227844,1636.06,1651.18,1633.88,1646.51
2025-04-21 12:00:00,1625.3132592458317,196179596688.3404,10464251943.402943,1645.85,1649.49,1622.72,1624.85
2025-04-21 16:00:00,1622.8007936356078,195883211299.9705,11885220041.235605,1625.31,1635.47,1614.68,1622.8
2025-04-21 20:00:00,1574.6287253876721,190247228554.49594,15201885714.144028,1622.93,1623.38,1571.39,1576.83
2025-04-22 00:00:00,1578.7839199994824,190565850488.98645,14359753340.079365,1576.09,1578.39,1573.7,1577.45
2025-04-22 04:00:00,1580.820511560719,190646464890.8265,14940489920.18476,1578.78,1589.42,1558.65,1578.77
