ts,close,mcap,volume,open,high,low,close_candle
2025-01-28,102101.49013927419,2020768161655.183,93724977880.38113,104758.0,105376.0,97792.0,101958.0
2025-02-01,102404.93376107872,2029226920291.1497,37366136226.18833,102101.0,106191.0,100272.0,102382.0
2025-02-05,97888.30731950274,1939466897604.7148,70848078818.16441,102405.0,102749.0,92460.0,98118.0
2025-02-09,96454.44602149501,1912742717871.6714,20932503231.866684,97888.0,100097.0,95676.0,96558.0
2025-02-13,97886.93195784716,1940385592431.8413,50369860070.37656,96454.0,98467.0,94120.0,97836.0
2025-02-17,96122.86600485025,1906788427878.0713,13845334001.297956,97887.0,98624.0,95410.0,96149.0
2025-02-21,98336.68799774042,1949452084035.1829,28413454737.835297,96123.0,98758.0,93435.0,98384.0
2025-02-25,91581.54822567313,1811646671301.7656,43517976327.902794,98337.0,99504.0,91397.0,91397.0
2025-03-01,84316.57799844211,1672949062387.7764,89841884852.7533,91582.0,92504.0,78393.0,84442.0
2025-03-05,87310.80531078295,1731441668069.6523,65863356680.42408,84317.0,94902.0,81688.0,87311.0
2025-03-09,86173.28335601451,1708748870976.7776,16274034837.384953,87039.0,92756.0,84972.0,86143.0
2025-03-13,83678.46552437067,1661736369389.8845,41720755211.84819,86173.0,86483.0,76784.0,83884.0
2025-03-17,82617.7331241566,1638737651555.1702,21877544080.929176,83678.0,85140.0,79948.0,82611.0
2025-03-21,84326.23460828917,1670792449939.0652,29074301901.64253,82570.0,87431.0,81208.0,84271.0
2025-03-25,87404.87649068212,1736010009543.4463,35787475027.20128,84326.0,88714.0,83239.0,87328.0
2025-03-29,84359.46915506005,1673182800974.1038,31674486232.097313,87483.0,88430.0,83609.0,84359.0
2025-04-02,85151.38359873935,1689879670634.6924,29670672164.87349,84333.0,85438.0,81362.0,85238.0
2025-04-06,83514.33824375339,1657421636425.5369,12379158344.909739,85151.0,87791.0,81333.0,83596.0
2025-04-10,82595.42668033838,1639326710291.1028,87537570479.44295,83514.0,83668.0,74604.0,82622.0
2025-04-14,83637.28172222206,1660460168651.854,28804463914.194767,82595.0,85732.0,78669.0,83601.0
2025-04-18,84946.9167296784,1686853537914.595,19288996288.863773,83637.0,86186.0,83219.0,84931.0
2025-04-22,87530.85023993472,1737318769836.1663,39741058939.04559,84940.0,88260.0,84038.0,87452.0
2025-04-26,94800.21413700008,1882130607410.928,39614324025.27644,87501.0,95564.0,87366.0,94773.0
